C:\Users\AliDesktop>nvidia-smi --query-gpu=temperature.gpu,memory.used,memory.total --format=csv -l 1
temperature.gpu, memory.used [MiB], memory.total [MiB]
54, 11849 MiB, 12288 MiB
54, 11847 MiB, 12288 MiB
54, 11847 MiB, 12288 MiB
54, 11844 MiB, 12288 MiB
54, 11844 MiB, 12288 MiB
54, 11841 MiB, 12288 MiB
54, 11834 MiB, 12288 MiB
54, 11828 MiB, 12288 MiB
54, 11818 MiB, 12288 MiB
54, 11811 MiB, 12288 MiB
54, 11827 MiB, 12288 MiB
54, 11828 MiB, 12288 MiB
54, 11828 MiB, 12288 MiB
54, 11827 MiB, 12288 MiB
54, 11827 MiB, 12288 MiB
55, 11827 MiB, 12288 MiB
55, 11811 MiB, 12288 MiB
55, 11815 MiB, 12288 MiB
55, 11809 MiB, 12288 MiB
55, 11823 MiB, 12288 MiB
55, 11823 MiB, 12288 MiB
55, 11823 MiB, 12288 MiB
55, 11823 MiB, 12288 MiB
55, 11823 MiB, 12288 MiB
55, 11824 MiB, 12288 MiB
55, 11819 MiB, 12288 MiB
55, 11819 MiB, 12288 MiB
55, 11806 MiB, 12288 MiB
55, 11806 MiB, 12288 MiB
55, 11821 MiB, 12288 MiB
55, 11821 MiB, 12288 MiB
55, 11821 MiB, 12288 MiB
55, 11821 MiB, 12288 MiB
55, 11846 MiB, 12288 MiB
55, 11844 MiB, 12288 MiB
55, 11844 MiB, 12288 MiB
55, 11844 MiB, 12288 MiB
55, 11841 MiB, 12288 MiB
56, 11841 MiB, 12288 MiB
56, 11844 MiB, 12288 MiB
56, 11840 MiB, 12288 MiB
56, 11839 MiB, 12288 MiB
56, 11832 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11824 MiB, 12288 MiB
56, 11824 MiB, 12288 MiB
56, 11824 MiB, 12288 MiB
56, 11824 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11825 MiB, 12288 MiB
56, 11841 MiB, 12288 MiB
56, 11827 MiB, 12288 MiB
56, 11838 MiB, 12288 MiB
56, 11838 MiB, 12288 MiB
57, 11838 MiB, 12288 MiB
57, 11837 MiB, 12288 MiB
57, 11837 MiB, 12288 MiB
57, 11829 MiB, 12288 MiB
57, 11805 MiB, 12288 MiB
57, 11805 MiB, 12288 MiB
57, 11809 MiB, 12288 MiB
57, 11810 MiB, 12288 MiB
57, 11827 MiB, 12288 MiB
57, 11828 MiB, 12288 MiB
57, 11828 MiB, 12288 MiB
57, 11837 MiB, 12288 MiB
57, 11892 MiB, 12288 MiB
57, 11879 MiB, 12288 MiB
57, 11868 MiB, 12288 MiB
57, 11862 MiB, 12288 MiB
57, 11878 MiB, 12288 MiB
57, 11836 MiB, 12288 MiB
57, 11822 MiB, 12288 MiB
56, 11915 MiB, 12288 MiB
56, 11874 MiB, 12288 MiB
56, 11873 MiB, 12288 MiB
55, 11847 MiB, 12288 MiB
55, 11851 MiB, 12288 MiB
55, 11820 MiB, 12288 MiB
54, 11807 MiB, 12288 MiB
54, 11809 MiB, 12288 MiB
54, 11809 MiB, 12288 MiB
53, 11816 MiB, 12288 MiB
53, 11807 MiB, 12288 MiB
53, 11807 MiB, 12288 MiB
52, 11802 MiB, 12288 MiB
52, 11802 MiB, 12288 MiB
52, 11788 MiB, 12288 MiB
51, 11788 MiB, 12288 MiB
51, 11788 MiB, 12288 MiB
51, 11788 MiB, 12288 MiB
51, 11788 MiB, 12288 MiB
50, 11803 MiB, 12288 MiB
50, 11810 MiB, 12288 MiB
50, 11806 MiB, 12288 MiB
50, 11806 MiB, 12288 MiB
49, 11807 MiB, 12288 MiB
49, 11793 MiB, 12288 MiB
49, 11820 MiB, 12288 MiB
48, 11820 MiB, 12288 MiB
48, 11820 MiB, 12288 MiB
48, 11815 MiB, 12288 MiB
48, 11828 MiB, 12288 MiB
48, 11816 MiB, 12288 MiB
47, 11799 MiB, 12288 MiB
47, 11823 MiB, 12288 MiB
47, 11825 MiB, 12288 MiB
47, 11824 MiB, 12288 MiB
47, 11809 MiB, 12288 MiB
47, 11804 MiB, 12288 MiB


